Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Comment [Cell Line],Proprietary Compound,Compound Concentration (microMolar),Compound InChIKey,Compound SMILES,Comment [Gene Identifier],Comment [Gene Symbol],Control Type,Channels,Score,Has Phenotype,Phenoptye Annotation Level,Phenotype,Phenotype Term Name,Phenotype Term Accession
1093670859,J11,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1062996041,3.125,,,3718,JAK3,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1114.862915,,,,,
1093670859,J12,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1062996041,1.25,,,3718,JAK3,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1199.154297,,,,,
1093670859,J13,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1062996041,0.3,,,3718,JAK3,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,122.120224,,,,,
1093670859,J14,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1062996041,0.1,,,3718,JAK3,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,73.77781677,,,,,
1093670859,J15,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1062996041,0.03,,,3718,JAK3,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,65.88806152,,,,,
1093670859,J16,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1062996041,0.0125,,,3718,JAK3,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,65.26176453,,,,,
1093670859,J17,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1062996041,0.003,,,3718,JAK3,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,80.9853363,,,,,
1093670859,J18,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1062996041,0.001,,,3718,JAK3,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,87.590271,,,,,
1093670859,J19,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1062996041,0.0003,,,3718,JAK3,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,73.772789,,,,,
1093670859,J20,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1062996041,0.00003,,,3718,JAK3,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,56.01599884,,,,,
